road_id,city_id,dist_id,road_city,road_dist,road_name,road_level,pile_data,pile_id,pile_lat,pile_lon,pile_dir,pile_lane,pile_distance,pile_angle,pile_width,pile_prop
1269,2,38,桃園市,八德區,忠勇街,RD,,148642,24.958106,121.304932,2,1,60,165,3,
1269,2,38,桃園市,八德區,忠勇街,RD,,148643,24.958281,121.304882,2,1,80,165,3,
1269,2,38,桃園市,八德區,忠勇街,RD,,148644,24.958455,121.304832,2,1,100,165,3,
1269,2,38,桃園市,八德區,忠勇街,RD,,148645,24.95863,121.304782,2,1,120,165,3,
1269,2,38,桃園市,八德區,忠勇街,RD,,148646,24.958805,121.304733,2,1,140,165,3,
1269,2,38,桃園市,八德區,忠勇街,RD,,148647,24.95898,121.304683,2,1,160,165,3,
1269,2,38,桃園市,八德區,忠勇街,RD,,148648,24.959155,121.304633,2,1,180,164,3,
1269,2,38,桃園市,八德區,忠勇街,RD,,148649,24.959328,121.304578,2,1,200,164,3,
1269,2,38,桃園市,八德區,忠勇街,RD,,148650,24.959501,121.304522,2,1,220,164,3,
1269,2,38,桃園市,八德區,忠勇街,RD,,148651,24.959675,121.304467,2,1,240,164,3,
1269,2,38,桃園市,八德區,忠勇街,RD,,148652,24.959848,121.304412,2,1,260,164,3,
1269,2,38,桃園市,八德區,忠勇街,RD,,148653,24.960022,121.304356,2,1,280,164,3,
1269,2,38,桃園市,八德區,忠勇街,RD,,148654,24.960193,121.304294,2,1,300,160,3,

