ID,申請日期,申請租借事由,租借起始日,租借結束日,借用時段,借用路段,案件狀態,SymStatus
10730,1.73206E+12,其他:公園擋土牆,1.73292E+12,1.73543E+12,9時0分至16時0分,楊梅區梅獅路一段至楊梅區幼獅路,已核定(同意),1
10731,1.73206E+12,其他:擋土牆新設工程,1.73292E+12,1.73543E+12,9時0分至16時0分,楊梅區梅獅路一段至楊梅區幼獅路,已核定(同意),1
