類別碼,識別碼,起點編號,終點編號,管理單位,作業區分,設置日期,管線編號,尺寸單位,管徑寬度,管徑高度,涵管條數,管線材料,管線長度,管線型態,使用狀態,資料狀態,備註,OBJECTID,起點埋設深度,終點埋設深度,前一次Status_XY,QualityLV_Old,QualityLV
801010103,8010101030008613,,,T2,1,1.2623E+12,11398280-既有管線3,3,0.06,0,1,PH,20.7,0,0,1,,554897,0.8,0.4,1,4,3
801010103,8010101030008614,,,T2,1,1.2623E+12, 11294146-2,3,0.12,0.06,2,PH,18,0,0,1,,554898,0.7,0.7,1,4,3
801010103,8010101030008622,,,T2,1,1.2623E+12, 1141287-既有管線7,3,0.178,0.086,2,PH,43.4,0,0,1,,554906,0.7,0.7,1,4,3
801010103,8010101030008625, , ,T2,1,1.2623E+12, ,3,0.178,0.178,4,PH,26.6,0,0,1, ,554909,0.7,1.1,1,3,3
801010103,8010101030008640,,,T2,1,1.2623E+12, 1241371-既有管線1,3,0.06,0,1,PH,12.9,0,0,1,,554924,0.8,0.4,1,4,3
801010103,8010101030008668, , ,T2,1,1.2623E+12, ,3,0.12,0.06,2,PH,14.3,0,0,1, ,554952,0.5,0.5,1,3,3
801010103,8010101030008675, , ,T2,1,1.2623E+12, ,3,0.178,0.086,2,PH,32,0,0,1, ,554959,0.5,0.5,1,3,1
801010103,8010101030008682,,,T2,1,1.2623E+12, 1141287-既有管線1,3,0.12,0.06,2,PH,43.4,0,0,1,,554966,0.7,0.7,1,4,3
801010103,8010101030008765, , ,T3,1,1.69379E+12, ,1,1.5,0,1,PVC,8.2,0,0,1, ,555049,0.5,0.5,1,4,3
801010103,8010101030008787, , ,T2,1,1.2623E+12,  1141434-既有管線2,3,0.178,0.086,2,PH,17.449623,0,0,1, ,555071,0.7,1.1,1,4,3
801010103,8010101030008814,,,T2,1,1.2623E+12, 11288326-既有管線1,3,0.12,0.06,2,PH,38.5,0,0,1,,555098,0.5,0.5,1,3,3
801010103,8010101030008836, , ,T2,1,1.2623E+12, ,3,0.12,0.06,2,PH,25.5,0,0,1, ,555120,0.7,0.7,1,3,1
801010103,8010101030008868,01P02,01P01,T2,1,1.6016E+12,1,1,6,3,2,PVC,186.8,0,0,0, ,555152,1.2,1.2,2,1,1
801010103,8010101030008872, , ,T2,1,1.2623E+12, ,3,0.8,0.66,12,PT,153.2,0,0,1, ,555156,1.2,1.2,1,3,3
801010103,8010101030008892, , ,T2,1,1.2623E+12, ,3,0.8,0.66,12,PT,129.1,0,0,1, ,555176,1.2,1.2,1,3,3
801010103,8010101030008938, , ,T2,1,1.2623E+12, ,3,0.8,0.5,8,PT,156.1,0,0,1, ,555222,1.1,1.1,1,3,3
801010103,8010101030009013, , ,T2,1,1.2623E+12,  1141434-既有管線3,3,1.5,0,1,PVC,15,0,0,1, ,555297,0.8,0.4,1,4,3
801010103,8010101030009032, , ,T2,1,1.2623E+12, ,3,0.178,0.086,2,PH,18,0,0,1, ,555316,0.7,0.7,1,3,3
801010103,8010101030009040, , ,T2,1,1.2623E+12, ,3,0.06,0,1,PH,14.3,0,0,1, ,555324,0.8,0.8,1,3,3
